Timestep,Living Population,Active Infections,Economic Productivity,Population Change
377,78016,5069,14973.476224809478,-9
378,78014,5070,14908.69346278126,-2
379,77995,5051,14846.604047757233,-19
380,77988,5075,14781.688821526135,-7
381,77980,5080,14715.103698160108,-8
382,77978,5104,14658.204292825505,-2
383,77971,5078,14597.366495998427,-7
384,77970,5056,14535.595684556974,-1
385,77953,5058,14467.718827055607,-17
386,77945,5027,14399.79413215669,-8
387,77939,5056,14336.14554859751,-6
388,77939,5075,14272.181105302563,0
389,77929,5060,14218.210988364002,-10
390,77929,5069,14155.787878818886,0
391,77927,5074,14102.089176087631,-2
392,77923,5080,14038.60904993383,-4
393,77914,5044,13983.191015549644,-9
394,77919,5055,13940.01547024063,5
395,77911,5041,13883.204388253023,-8
396,77902,5059,13824.735292347686,-9
397,77889,5051,13769.116513482886,-13
398,77875,5064,13711.68007790418,-14
399,77858,5052,13636.226009903114,-17
400,77854,5063,13573.022521368332,-4
401,77849,5073,13522.697956893202,-5
402,77840,5062,13473.142975674262,-9
403,77836,5081,13419.055115230038,-4
404,77839,5066,13366.39324384581,3
405,77840,5040,13313.333246983986,1
406,77831,5016,13260.305628866548,-9
407,77829,4990,13217.216171968357,-2
408,77818,4952,13174.376581349181,-11
409,77808,4957,13124.626854045855,-10
410,77813,4967,13081.236015631508,5
411,77805,4927,13035.260833828777,-8
412,77804,4928,12981.124747950524,-1
413,77789,4903,12929.75835085643,-15
414,77789,4895,12882.418100295847,0
415,77800,4903,12842.30347228961,11
416,77795,4896,12797.096204846566,-5
417,77795,4923,12748.858338271964,0
418,77796,4872,12692.066384638116,1
419,77790,4863,12641.719138802586,-6
420,77787,4863,12592.712648360257,-3
421,77793,4858,12541.742028043109,6
422,77791,4798,12496.516120456155,-2
423,77776,4753,12453.444788545074,-15
424,77779,4723,12406.221657631591,3
425,77775,4721,12351.303813760147,-4
426,77769,4691,12308.315140129245,-6
427,77773,4676,12261.856633764584,4
428,77771,4676,12221.012562184496,-2
429,77764,4695,12173.536257691845,-7
430,77762,4667,12129.714232355505,-2
431,77758,4628,12079.530714312643,-4
432,77744,4621,12028.545619062728,-14
433,77737,4625,11981.830303320201,-7
434,77731,4628,11941.256363101798,-6
435,77726,4574,11897.57766061489,-5
436,77725,4562,11856.929119161026,-1
437,77713,4538,11800.110607959967,-12
438,77717,4547,11758.273676624478,4
439,77710,4567,11719.91083034058,-7
440,77708,4588,11669.151964153252,-2
441,77694,4582,11613.207197915179,-14
442,77690,4566,11570.198518710386,-4
443,77677,4549,11525.15048620093,-13
444,77666,4535,11488.808413346289,-11
445,77665,4530,11444.556900636164,-1
446,77666,4524,11389.098521652446,1
447,77670,4530,11342.427271968752,4
448,77668,4489,11304.99602905363,-2
