Timestep,Living Population,Active Infections,Economic Productivity,Population Change
159,81321,206,57052.88308748511,16
160,81327,204,57043.06960810816,6
161,81341,213,57030.17766856852,14
162,81351,216,57016.618822002274,10
163,81357,215,57002.55062163764,6
164,81365,225,56987.59349127011,8
165,81371,243,56972.61754212172,6
166,81384,249,56958.70390483951,13
167,81397,257,56943.742793775666,13
168,81409,257,56930.92271202329,12
169,81414,269,56909.421829188606,5
170,81426,280,56889.56011554607,12
171,81437,292,56868.92497992774,11
172,81452,304,56852.26114930417,15
173,81458,321,56830.15348542689,6
174,81467,332,56808.7505080909,9
175,81475,343,56788.959205217274,8
176,81485,347,56769.071473054966,10
177,81495,353,56749.29943306132,10
178,81506,373,56728.14633112007,11
179,81514,385,56709.294419770544,8
180,81531,387,56692.17655391701,17
181,81543,391,56675.85089430365,12
182,81551,401,56650.08001417032,8
183,81561,410,56633.715871652654,10
184,81570,428,56604.76537553882,9
185,81585,436,56575.7925984799,15
186,81596,453,56546.709880074515,11
187,81602,449,56523.135185693325,6
188,81611,449,56504.99501567331,9
189,81616,468,56474.18020638829,5
190,81623,488,56450.71393795016,7
191,81630,494,56428.557923803084,7
192,81632,500,56401.049170477316,2
193,81638,518,56366.202236535886,6
194,81654,529,56340.8949031395,16
195,81664,541,56317.983373858595,10
196,81672,560,56289.29508558854,8
197,81676,583,56255.72177979337,4
198,81684,582,56228.60313614791,8
199,81695,593,56201.78558218437,11
200,81709,586,56183.797115955815,14
201,81720,582,56160.98846023537,11
202,81727,581,56133.60035142963,7
203,81740,593,56105.099585775126,13
204,81744,590,56075.405765190204,4
205,81755,597,56046.220188415486,11
206,81762,608,56015.60863016765,7
207,81780,619,55978.737701709935,18
208,81792,618,55952.31843074167,12
209,81798,626,55928.299305329805,6
210,81802,626,55889.21541986091,4
211,81809,639,55854.35196502385,7
212,81828,648,55815.39244501997,19
213,81839,658,55782.7532400785,11
214,81845,679,55746.09829439095,6
215,81861,702,55701.327939846145,16
216,81866,709,55667.07325382776,5
217,81868,703,55635.742349681685,2
218,81879,710,55604.78411665771,11
219,81890,724,55562.47952206385,11
220,81903,744,55527.95124605183,13
221,81920,741,55496.95303385771,17
222,81929,759,55455.57996078172,9
223,81942,770,55417.137672002405,13
224,81950,776,55385.443835140206,8
225,81959,776,55353.28112600438,9
226,81967,794,55318.12682396707,8
227,81973,799,55269.03845153453,6
228,81988,810,55226.13719318903,15
229,81996,810,55187.767916464996,8
230,82001,825,55150.76782204792,5
231,82008,849,55111.83872845463,7
232,82017,861,55071.231278620624,9
233,82024,853,55030.88640931388,7
234,82035,862,54985.740824986024,11
235,82041,885,54938.672172299644,6
236,82049,891,54896.24230485526,8
237,82061,921,54851.73553189714,12
238,82073,920,54811.882010996975,12
239,82093,929,54769.61762397277,20
240,82106,944,54722.26823294485,13
241,82114,964,54675.03383095961,8
242,82123,972,54637.30966106387,9
243,82132,970,54595.416834055235,9
244,82139,995,54549.70531078725,7
245,82151,1010,54496.33762321091,12
246,82162,1016,54448.82863014388,11
247,82170,1040,54402.363562722494,8
248,82179,1060,54348.45321859246,9
249,82193,1086,54287.78183711418,14
250,82205,1116,54236.38685637858,12
251,82219,1129,54186.98948236007,14
